Time[sec],x1[k+1],x2[k+1],x3[k+1],x4[k+1]
0.03,-0.010802141786314404,0.2812380917504325,-0.6632898275292177,17.495824718583577
0.031,-0.011473715595833022,0.29896597053814344,-0.6798030254234325,17.958819544608065
0.032,-0.012161638775156391,0.31715351946835746,-0.6959890538244081,18.415180751013512
0.033,-0.012865585601298038,0.33579415168897114,-0.7118507984660453,18.865001591931573
0.034,-0.013585233222672336,0.3548813729906931,-0.7273911138264699,19.308374019223947
0.035,-0.014320261624615471,0.37440878040632347,-0.7426128237258006,19.74538870229734
0.036,-0.015070353597661058,0.3943700608960297,-0.7575187218869882,20.176135046701674
0.037,-0.01583519471457752,0.41475899030335767,-0.772111572382317,20.600701208899597
0.038,-0.016614473298322798,0.4355694320332002,-0.7863941101955234,21.019174114966273
0.039,-0.01740788039359575,0.4567953358416576,-0.8003690417361358,21.431639477706184
0.04,-0.018215109736643375,0.47843073657424123,-0.8140390453740444,21.83818181449898
0.041,-0.019035857723852023,0.5004697528685024,-0.8274067719876801,22.238884465646926
0.042,-0.019869823392270128,0.5229065862215192,-0.8404748453609301,22.63382960756546
0.043,-0.02071670838997942,0.5457355197496616,-0.8532458627057166,23.023098270321185
0.044,-0.021576216950171843,0.5689509170626795,-0.8657223951364684,23.4067703535533
0.045,-0.022448055863393365,0.5925472210841629,-0.8779069881654381,23.784924643151633
0.046,-0.023331934445836252,0.616518952754545,-0.8898021622449565,24.157638829593072
0.047,-0.02422756452692211,0.6408607103171642,-0.9014104130701764,24.524989518039156
0.048,-0.025134660421070154,0.6655671681293107,-0.9127342120749693,24.887052245143853
0.049,-0.026052938903453428,0.6906330755951042,-0.9237760068769135,25.243901494138964
0.05,-0.02698211918687644,0.7160532561338007,-0.9345382217067084,25.595610709417826
0.051,-0.027921922899136743,0.7418226061643151,-0.9450232578298703,25.9422523108889
0.052,-0.028872074060859725,0.7679360941056327,-0.9552334939608451,26.283897708103712
0.053,-0.0298322990572027,0.7943887591953631,-0.965171286750479,26.620617316953226
0.054,-0.030802326602408035,0.8211757100958803,-0.974838971359355,26.95248057936424
0.055,-0.03178188774649498,0.848292124763931,-0.9842388615128946,27.279555965143395
0.056,-0.03277071584341791,0.8757332491681272,-0.9933732500269606,27.601910990098148
0.057,-0.03376854652902704,0.9034943963016498,-1.00224440921155,27.919612229985717
0.058,-0.0347751177003902,0.9315709452373983,-1.010854591256035,28.23272533386118
0.059,-0.03579016949540548,0.9599583401935304,-1.019206028609079,28.54131503727774
0.06,-0.03681344427268918,0.9886520896089304,-1.0273009343534105,28.845445175345635
0.061,-0.037844686597863136,1.017647765420926,-1.0351415024971906,29.145178692932852
0.062,-0.03888364323326539,1.0469410024518215,-1.0427299082199994,29.44057765332761
0.063,-0.03993006309771613,1.0765274968564185,-1.0500683084998939,29.731703260164643
0.064,-0.04098369725680481,1.106403005529326,-1.0571588423487537,30.018615865791997
0.065,-0.042044298905285576,1.1365633452658195,-1.0640036311468413,30.301374983118155
0.066,-0.0431116233491858,1.1670043919150723,-1.0706047789793776,30.58003929756591
0.067,-0.04418542798816731,1.1977220795427208,-1.0769643729682328,30.85466667889321
0.068,-0.045265472298128585,1.2287123996024159,-1.0830844835988773,31.125314192886055
0.069,-0.04635151782256175,1.2599714003798033,-1.0889671649370638,31.39203810920346
0.07,-0.047443328164095466,1.2914951864438131,-1.0946144548414496,31.65489390911817
0.071,-0.048540668944405146,1.3232799171207272,-1.1000283755665416,31.913936307054588
0.072,-0.04964330779910427,1.3553218060522154,-1.1052109339303007,32.169219256819964
0.073,-0.050751014362727935,1.3876171204483903,-1.1101641216027947,32.42079596214075
0.074,-0.05186356025359404,1.4201621803386786,-1.1148899153946075,32.66871888722869
0.075,-0.0529807190589235,1.4529533578323184,-1.119390277540277,32.91303976720988
0.076,-0.054102266320212214,1.4859870763882692,-1.123667155976854,33.153809618419785
0.077,-0.05522797952185959,1.5192598101899855,-1.127722484583123,33.39107874722027
0.078,-0.05635763807871329,1.5527680834872226,-1.131558183429274,33.624896759279416
0.079,-0.05749102331561317,1.5865084696852285,-1.1351761591163518,33.855312572406746
0.08,-0.05862791845716328,1.6204775907602496,-1.1385783049964382,34.08237442479242
0.081,-0.05976810861460264,1.6546721165844105,-1.1417665014241418,34.306129884521056
0.082,-0.060911380772853914,1.6890887642577699,-1.144742616004093,34.52662585898305
0.083,-0.062057523777801805,1.7237242974492175,-1.1475085038338495,34.74390860416011
0.084,-0.06320632832379498,1.7585755257460378,-1.1500660077422957,34.95802373378727
0.085,-0.06435758694346345,1.7936393040801155,-1.1524169585005413,35.169016227435996
