Time[sec],x1[k+1],x2[k+1],x3[k+1],x4[k+1]
0.001,2.7925141701323666,1.2575565141547789e-05,-0.025258666946290493,0.02508613632697049
0.002,2.792476300244195,5.00446685459655e-05,-0.05047387602649773,0.04978728758608053
0.003,2.792413236095507,0.00011202491023809911,-0.0756476496496378,0.07411072252746877
0.004,2.792325018060906,0.0001981426830367783,-0.10078199239888776,0.09806357144259048
0.005,2.792211684583028,0.00030803088483965276,-0.12587890246727645,0.12165286898624461
0.006,2.7920732720968253,0.0004413294481462585,-0.1509403688134955,0.1448855440675864
0.007,2.7919098150207993,0.0005976852939905663,-0.17596837124766093,0.16776842056791225
0.008,2.7917213458526042,0.0007767519231778803,-0.2009648809922487,0.1903082235096253
0.009,2.7915078951029253,0.0009781895830379076,-0.22593186048502858,0.2125115765713987
0.01,2.791269491327931,0.0012016650526750954,-0.2508712636982495,0.2343850053536216
0.011,2.7910061611391908,0.0014468515275687433,-0.2757850363204699,0.25593493914345966
0.012,2.7907179291926556,0.001713428748182439,-0.30067511555290144,0.2771677089467398
0.013,2.7904048182042445,0.002001082819540742,-0.325543430391995,0.2980895502458567
0.014,2.7900668489639218,0.0023095060464568638,-0.3503919018914242,0.3187066055223513
0.015,2.789704040361598,0.0026383966252249485,-0.3752224436626349,0.33902492898729253
0.016,2.7893164093770966,0.002987458770717585,-0.4000369616530043,0.35905048461572026
0.017,2.7889039710959187,0.0033564025308401666,-0.4248373544427137,0.37878914898911376
0.018,2.7884667387154027,0.0037449437115775553,-0.44962551336976897,0.39824671244873533
0.019,2.7880047235094034,0.004152804262800918,-0.4744033219725516,0.4174288732450999
0.02,2.7875179348840753,0.004579711654676723,-0.4991726569215716,0.43634124702509214
0.021,2.787006380380741,0.005025398840364769,-0.5239353880862463,0.45498936741051005
0.022,2.786470065677373,0.005489604233384587,-0.5486933785808304,0.4733786863545175
0.023,2.78590899458099,0.00597207177398862,-0.5734484846922892,0.49151457315890873
0.024,2.7853231690474085,0.006472550714031141,-0.5982025561989314,0.5094023177442358
0.025,2.7847125891903812,0.006990795511061064,-0.6229574365374287,0.5270471322698227
0.026,2.784077253285546,0.0075265657756720976,-0.6477149628959407,0.5444541519492199
0.027,2.7834171577688056,0.008079626267950406,-0.6724769662410386,0.5616284351258654
0.028,2.7827322972473496,0.008649746775900831,-0.6972452715055946,0.5785749651289064
0.029,2.78202266451037,0.009236701996669929,-0.7220216977728552,0.5952986520868349
0.03,2.7812882505320666,0.009840271489853988,-0.746808058361193,0.6118043336528305
0.031,2.7805290444758413,0.010460239619883438,-0.7716061609220508,0.6280967758931623
0.032,2.7797450336924032,0.01109639555564033,-0.7964178074529367,0.6441806733054322
0.033,2.7789362037402188,0.01174853305977743,-0.821244794622554,0.6600606520341442
0.034,2.778102538385245,0.012416450473056263,-0.8460889138064761,0.6757412701212531
0.035,2.7772440195999644,0.013099950704267596,-0.8709519511017864,0.6912270176590907
0.036,2.7763606275660018,0.013798841186984252,-0.8958356873974895,0.7065223174541081
0.037,2.775452340695542,0.014512933661779442,-0.9207418987374123,0.7216315283776334
0.038,2.7745191356292116,0.015242044176933513,-0.9456723563174791,0.7365589453534523
0.039,2.7735609872412232,0.015985993021747934,-0.9706288265960686,0.7513088003830636
0.04,2.772577868644485,0.016744604660200883,-0.9956130714040312,0.7658852635659095
0.041,2.7715697511955506,0.017517707666081187,-1.020626848052463,0.7802924440970809
0.042,2.7705366044953035,0.018305134697919886,-1.0456719093604536,0.794534390638992
0.043,2.7694783963739678,0.019106722619873777,-1.0707500033873303,0.8086150893951597
0.044,2.768395092925358,0.0199223121639787,-1.0958628740966139,0.822538469407882
0.045,2.7672866585024414,0.020751747952826957,-1.1210122612891253,0.8363084021802192
0.046,2.7661530557182648,0.021594878472208832,-1.1461999006384105,0.8499287020867651
0.047,2.764994245449183,0.02245155602241318,-1.1714275237702458,0.8634031271212848
0.048,2.763810186837879,0.02332163667141829,-1.196696858339064,0.8767353796153379
0.049,2.7626008372970796,0.024204980201742447,-1.222009628109804,0.8899291070493136
0.05,2.7613661525455466,0.025101449760704758,-1.2473675533451123,0.9029879072378828
0.051,2.760106086581499,0.02601091208579049,-1.2727723505971427,0.9159153250298955
0.052,2.7588205916762885,0.026933237543859363,-1.2982257326905928,0.9287148517534982
0.053,2.7575096183890278,0.027868299977897526,-1.3237294089034861,0.9413899274994045
0.054,2.7561731155696574,0.028815976659992793,-1.3492850850370641,0.9539439418359438
