Time[sec],x1[k+1],x2[k+1],x3[k+1],x4[k+1]
0.001,-1.3961208525269318e-05,0.0003571746085478457,-0.02785025855246564,0.7126494745066222
0.002,-5.5556677980130365e-05,0.0014219183130473846,-0.0552691283536485,1.4151600574211043
0.003,-0.00012435704512875944,0.003184162529312611,-0.08226073661931751,2.107674012022778
0.004,-0.0002199370896991231,0.005633980912430063,-0.10882915779522656,2.7903315973675356
0.005,-0.0003418756401680536,0.008761586397795151,-0.13497841482326034,3.463271110149482
0.006,-0.0004897555227520343,0.012557329255144228,-0.16071247999433858,4.126628912251528
0.007,-0.0006631635110014773,0.01701169516071149,-0.18603527579286377,4.780539458039005
0.008,-0.0008616902763351307,0.022115303300327512,-0.2109506757270936,5.425135321214565
0.009,-0.0010849303406414578,0.02785890454013841,-0.23546250512871442,6.0605472207146
0.01,-0.0013324820307152859,0.03423337965650092,-0.2595745419253449,6.686904045766708
0.011,-0.001603947424464315,0.04122973729926376,-0.2832905175348281,7.304332884726786
0.012,-0.0018989323049227284,0.048839112207893574,-0.3066141176440231,7.9129590503316924
0.013,-0.0022170461136492648,0.05705276340761573,-0.32954898299672425,8.512906105235242
0.014,-0.002557901906623683,0.06586207248646929,-0.3520987101446509,9.104295886397155
0.015,-0.0029211163352487928,0.07525854268600238,-0.3742668518271981,9.687248517938025
0.016,-0.0033063095861267707,0.08523379665678746,-0.3960569179601863,10.261882442921305
0.017,-0.0037096064784728966,0.09569008075567216,-0.40349305214029346,10.470713130280428
0.018,-0.004109799488669649,0.10608600970980808,-0.3969032857137456,10.321496289787998
0.019,-0.004503433557705627,0.11633377143275542,-0.39037504311744536,10.174373755261023
0.02,-0.004890569831226189,0.12643544555486974,-0.3839075699942124,10.029316240828296
0.021,-0.005271268706807991,0.13639308262485583,-0.3775001246614088,9.886294872279219
0.022,-0.005645589846604272,0.14620870452065168,-0.37115197792060484,9.745281181236338
0.023,-0.006013592189682695,0.15588430485079374,-0.3648624128714988,9.606247099462722
0.024,-0.00637533396307728,0.16542184931650294,-0.3586307247432332,9.469164953725638
0.025,-0.006730872695319683,0.17482327614946952,-0.35245622069219046,9.33400745958816
0.026,-0.007080265228713987,0.18409049651127044,-0.34633821961677425,9.200747715744122
0.027,-0.007423567730944946,0.19322539487242468,-0.34027605198120525,9.069359198641484
0.028,-0.007760835706834347,0.20222982939595652,-0.33426905963731857,8.939815757041808
0.029,-0.008092124009906606,0.21110563231512056,-0.32831659564894405,8.81209160666245
