Time[sec],x1[k+1],x2[k+1],x3[k+1],x4[k+1]
0.001,-1.3961208525269318e-05,0.0003571746085478457,-0.02785025855246564,0.7126494745066222
0.002,-5.5556677980130365e-05,0.0014219183130473846,-0.0552691283536485,1.4151600574211043
0.003,-0.00012435704512875944,0.003184162529312611,-0.08226073661931751,2.107674012022778
0.004,-0.0002199370896991231,0.005633980912430063,-0.10882915779522656,2.7903315973675356
0.005,-0.0003418756401680536,0.008761586397795151,-0.13497841482326034,3.463271110149482
0.006,-0.0004897555227520343,0.012557329255144228,-0.16071247999433858,4.126628912251528
0.007,-0.0006631635110014773,0.01701169516071149,-0.18603527579286377,4.780539458039005
0.008,-0.0008616902763351307,0.022115303300327512,-0.2109506757270936,5.425135321214565
0.009,-0.0010849303406414578,0.02785890454013841,-0.23546250512871442,6.0605472207146
0.01,-0.0013324820307152859,0.03423337965650092,-0.2595745419253449,6.686904045766708
0.011,-0.001603947424464315,0.04122973729926376,-0.2832905175348281,7.304332884726786
0.012,-0.0018989323049227284,0.048839112207893574,-0.3066141176440231,7.9129590503316924
0.013,-0.0022170461136492648,0.05705276340761573,-0.32954898299672425,8.512906105235242
0.014,-0.002557901906623683,0.06586207248646929,-0.3520987101446509,9.104295886397155
0.015,-0.0029211163352487928,0.07525854268600238,-0.3742668518271981,9.687248517938025
0.016,-0.0033063095861267707,0.08523379665678746,-0.3960569179601863,10.261882442921305
0.017,-0.003706106619744962,0.09560056032282284,-0.3895137676217193,10.113112754248819
0.018,-0.0040784673741897995,0.10528426294702584,-0.3552899559942513,9.256333789022802
0.019,-0.0044168501450791466,0.11411728181120429,-0.3215569865083041,8.411716632158194
0.02,-0.004721743342043358,0.1221116932686159,-0.2883100042541091,7.57909074706931
0.021,-0.004993630551781169,0.1292794043176764,-0.2555442189262482,6.758287985240836
0.022,-0.005232990602552133,0.1356321549884021,-0.22325490376754195,5.949142552430624
0.023,-0.005440297627236908,0.14118152068119988,-0.19143739453484182,5.151490975548475
0.024,-0.0056160211231292625,0.14593891440052792,-0.16008708851347075,4.365172071025866
0.025,-0.005760626013720551,0.14991558905264163,-0.12919944350202225,3.590026912276785
0.026,-0.005874572713678756,0.1531226398458687,-0.09876997674975539,2.8258987957045294
0.027,-0.005958317187833297,0.1555710064986231,-0.06879426398303129,2.0726332094352746
0.028,-0.006012311010704036,0.15727147546493855,-0.03926793842371621,1.3300778018032366
0.029,-0.006037001413624128,0.158234681761105,-0.010186689990253184,0.5980823554911741
