Time[sec],x1[k+1],x2[k+1],x3[k+1],x4[k+1]
0.001,-1.3961208525269318e-05,0.0003571746085478457,-0.02785025855246564,0.7126494745066222
0.002,-5.5556677980130365e-05,0.0014219183130473846,-0.0552691283536485,1.4151600574211043
0.003,-0.00012435704512875944,0.003184162529312611,-0.08226073661931751,2.107674012022778
0.004,-0.0002199370896991231,0.005633980912430063,-0.10882915779522656,2.7903315973675356
0.005,-0.0003418756401680536,0.008761586397795151,-0.13497841482326034,3.463271110149482
0.006,-0.0004897560101674506,0.012557341830492999,-0.16071247095296762,4.126628701474959
0.007,-0.0006492027379324549,0.016654531908742186,-0.158185008703483,4.067889789981203
0.008,-0.0008061340250147301,0.020693396140366555,-0.1556815389267734,4.009975073124281
0.009,-0.0009605737127295366,0.024674752941362475,-0.15320176015998982,3.9528730211731014
0.01,-0.0011125453434581848,0.028599409279768482,-0.150745375951837,3.8965722664685245
0.011,-0.0012620721655911672,0.03246816083558386,-0.1483120947889049,3.8410616011556864
0.012,-0.001409177138446026,0.036281792159982194,-0.14590163002227546,3.7863299749262747
0.013,-0.0015538829368837727,0.04004107682524465,-0.1435136997982137,3.732366492892209
0.014,-0.001696211955892789,0.043746777573696286,-0.14114802698929532,3.6791604134734337
0.015,-0.0018361863160529803,0.04739964649364237,-0.1388043391136849,3.6267011459034366
0.016,-0.001973827867980629,0.051000425164033136,-0.13648236826813628,3.574978248177519
0.017,-0.002109158196970661,0.054549844805178264,-0.13418185105833655,3.523981424915414
0.018,-0.0022421986275773004,0.05804862642756499,-0.13190252853008105,3.4737005252507447
0.019,-0.002372970228120553,0.06149748097839547,-0.12964414610144817,3.424125540752784
0.02,-0.002501493813996712,0.06489710945159802,-0.1274064535110354,3.375246603865382
0.021,-0.0026277899498993685,0.06824820296456352,-0.12518920478082768,3.327053986817037
0.022,-0.002751878958454918,0.07155144303067462,-0.12299215809294656,3.279538097758703
0.023,-0.002873780922622723,0.07480750164147694,-0.1208150757501208,3.232689479596906
0.024,-0.0029935156895624757,0.0780170413936209,-0.11865772411646225,3.1864988081929355
0.025,-0.003111102874563974,0.08118071561769188,-0.11651987355740726,3.1409568905353025
0.026,-0.00322656186489514,0.08429916850452779,-0.11440129838076009,3.0960546629477688
0.027,-0.003339911824366552,0.08737303525437082,-0.1123017767679034,3.051783188974257
0.028,-0.003451171699322714,0.09040294227140565,-0.11022109068544746,3.0081336566215007
0.029,-0.0035603602182232765,0.09338950715484368,-0.1081590258846642,2.965097378480855
