Time[sec],x1[k+1],x2[k+1],x3[k+1],x4[k+1]
0.03,-0.007881025709818284,0.2059795594540712,-0.28902293581368554,7.808575999110507
0.031,-0.008167406218475831,0.21373218391628906,-0.2837460575028243,7.696936894946045
0.032,-0.008448533620407025,0.22137395551148992,-0.2785166144766994,7.586866073327225
0.033,-0.00872445507566297,0.22890643142976924,-0.2733340653841736,7.478341629014403
0.034,-0.008995217208261876,0.23633114712931652,-0.2681978782083525,7.371341964253328
0.035,-0.009260866118363131,0.2436496167300692,-0.26310753008468835,7.265845783192505
0.036,-0.009521447387387711,0.25086333319296034,-0.2580625072139974,7.1618320893370235
0.037,-0.009777006086699682,0.2579737686073607,-0.25306230472757435,7.059280181470104
0.038,-0.010027586786086775,0.2649823744723816,-0.2481064265550204,6.95816964966159
0.039,-0.010273233562140934,0.2718905819751945,-0.24319438529340243,6.858480371318697
0.04,-0.010513990015538075,0.27869980254790516,-0.23832570195447245,6.760192503293187
0.041,-0.01074989927288357,0.2854114279417192,-0.23349990592326614,6.663286480822459
0.042,-0.010981003989726268,0.29202683033781024,-0.22871653490065552,6.567743015951036
0.043,-0.011207346362375283,0.2985473627337264,-0.2239751347252833,6.473543092051204
0.044,-0.011428968135586142,0.30497435920071664,-0.21927525925203972,6.38066796017108
0.045,-0.011645910610070467,0.3113091351356837,-0.21461647023291733,6.289099135458811
0.046,-0.011858214649844913,0.31755298750825056,-0.20999833720003017,6.198818393655951
0.047,-0.012065920701796962,0.3237071954878452,-0.20542043718202532,6.109807762210581
0.048,-0.012269068798018123,0.3297730205350204,-0.20088235465543713,6.0220495189757965
0.049,-0.012467698551528305,0.3357517062873735,-0.19638368158612607,5.935526193816274
0.05,-0.01266184917066754,0.34164447902607387,-0.1919240172161566,5.8502205619946235
0.051,-0.012851559466173461,0.3474525479150532,-0.1875029679503785,5.766115640776386
0.052,-0.013036867858119814,0.3531771052359885,-0.18312014724487524,5.683194686094635
0.053,-0.01321781238271601,0.3588193266190763,-0.17877517549727942,5.601441189274189
0.054,-0.013394430702592053,0.36438037138442975,-0.17446767988938439,5.520838872190407
0.055,-0.013566760113442426,0.3698613827683109,-0.1701972942795214,5.441371684057786
0.056,-0.01373483754509838,0.37526348797302933,-0.16596365917110661,5.363023800713904
