Time[sec],x1[k],x2[k],x3[k],x4[k],d/dt x3[k],d/dt x4[k],voltage
0.0,0.0,0.0,0.0,0.0,-28.067341181049954,717.7668185329665,12.0
0.001,-1.3961208525269318e-05,0.0003571746085478457,-0.02785025855246564,0.7126494745066222,-27.63387175677434,707.55614595235,12.0
0.002,-5.5556677980130365e-05,0.0014219183130473846,-0.0552691283536485,1.4151600574211043,-27.20455562351528,697.4887273095935,12.0
0.003,-0.00012435704512875944,0.003184162529312611,-0.08226073661931751,2.107674012022778,-26.779339969985248,687.5625580106137,12.0
0.004,-0.0002199370896991231,0.005633980912430063,-0.10882915779522656,2.7903315973675356,-26.358172863172317,677.7756618365709,12.0
0.005,-0.0003418756401680536,0.008761586397795151,-0.13497841482326034,3.463271110149482,-25.941003230414196,668.1260903516214,12.0
0.006,-0.0004897555227520343,0.012557329255144228,-0.16071247999433858,4.126628912251528,-25.5277808467987,658.6119225123375,12.0
0.007,-0.0006631635110014773,0.01701169516071149,-0.18603527579286377,4.780539458039005,-25.11845632268866,649.2312642807773,12.0
0.008,-0.0008616902763351307,0.022115303300327512,-0.2109506757270936,5.425135321214565,-24.7129810914529,639.9822482437794,12.0
0.009,-0.0010849303406414578,0.02785890454013841,-0.23546250512871442,6.0605472207146,-24.31130739762893,630.863033245839,12.0
0.01,-0.0013324820307152859,0.03423337965650092,-0.2595745419253449,6.686904045766708,-23.91338828546148,621.8718040338713,12.0
0.011,-0.001603947424464315,0.04122973729926376,-0.2832905175348281,7.304332884726786,-23.519177585795813,613.0067708484729,12.0
0.012,-0.0018989323049227284,0.048839112207893574,-0.3066141176440231,7.9129590503316924,-23.128629904544827,604.2661690659351,12.0
0.013,-0.0022170461136492648,0.05705276340761573,-0.32954898299672425,8.512906105235242,-22.74170061103694,595.6482588362504,12.0
0.014,-0.002557901906623683,0.06586207248646929,-0.3520987101446509,9.104295886397155,-22.35834582686904,587.1513247373612,12.0
0.015,-0.0029211163352487928,0.07525854268600238,-0.3742668518271981,9.687248517938025,-21.978522419806232,578.7736755926949,12.0
0.016,-0.0033063095861267707,0.08523379665678746,-0.3960569179601863,10.261882442921305,-21.602187989407074,570.5136440207569,12.0
0.017,-0.003706106619744962,0.09560056032282284,-0.3895137676217193,10.113112754248819,34.47086735634939,-862.9173184708259,-12.0
0.018,-0.0040784673741897995,0.10528426294702584,-0.3552899559942513,9.256333789022802,33.977575969723986,-850.6694376222582,-12.0
0.019,-0.0044168501450791466,0.11411728181120429,-0.3215569865083041,8.411716632158194,33.48917213934953,-838.5932984080705,-12.0
0.02,-0.004721743342043358,0.1221116932686159,-0.2883100042541091,7.57909074706931,33.0055907376779,-826.6864960219476,-12.0
0.021,-0.004993630551781169,0.1292794043176764,-0.2555442189262482,6.758287985240836,32.52676769436471,-814.9466594779391,-12.0
0.022,-0.005232990602552133,0.1356321549884021,-0.22325490376754195,5.949142552430624,32.05263998050539,-803.3714511310127,-12.0
0.023,-0.005440297627236908,0.14118152068119988,-0.19143739453484182,5.151490975548475,31.583145593229077,-791.9585662072435,-12.0
0.024,-0.0056160211231292625,0.14593891440052792,-0.16008708851347075,4.365172071025866,31.118223540998112,-780.7057323551597,-12.0
0.025,-0.005760626013720551,0.14991558905264163,-0.12919944350202225,3.590026912276785,30.65781382856059,-769.6107091842745,-12.0
0.026,-0.005874572713678756,0.1531226398458687,-0.09876997674975539,2.8258987957045294,30.20185744131436,-758.6712877830796,-12.0
0.027,-0.005958317187833297,0.1555710064986231,-0.06879426398303129,2.0726332094352746,29.75029633090287,-747.8852902756813,-12.0
0.028,-0.006012311010704036,0.15727147546493855,-0.03926793842371621,1.3300778018032366,29.3030734007409,-737.2505693749579,-12.0
0.029,-0.006037001413624128,0.158234681761105,-0.010186689990253184,0.5980823554911741,28.86013249404227,-726.7650080158072,-12.0
0.03,-0.006032831333687252,0.15847111085113344,0.018453735527905024,-0.12350123916286426,28.42141838151545,-716.4265189766244,-12.0
0.031,-0.006000239490122019,0.15799110141456618,0.046657537699071314,-0.8348190233672552,27.98687674363103,-706.2330443237407,-12.0
0.032,-0.005939660428316584,0.1568048470739004,0.07442886220209634,-1.536014994328994,27.55645415934906,-696.1825550646787,-12.0
0.033,-0.005851524571800813,0.154922398378115,0.10177180169598683,-2.227231133336333,27.130098093285543,-686.2730507500389,-12.0
0.034,-0.005736258280178463,0.15235366497254219,0.12869039678207683,-2.908607436490573,26.707756881745095,-676.5025590379067,-12.0
0.035,-0.005594283908039021,0.14910841779877396,0.1551886369820515,-3.580281945865783,26.289379718585224,-666.8691352522211,-12.0
0.036,-0.005426019836514171,0.145196290433989,0.18127046129408267,-4.242390768439721,25.874916646425195,-657.3708621142601,-12.0
0.037,-0.00523188052895212,0.14062678118758393,0.20693975912227316,-4.89506810578808,25.464318543178454,-648.0058493217829,-12.0
0.038,-0.0050122765786759374,0.1354092549482354,0.2322003710845278,-5.538446280233163,25.05753711014174,-638.7722331783716,-12.0
0.039,-0.004767614764842026,0.12955294528723327,0.25705608994333023,-6.172655764631355,24.654524858508402,-629.6681761712753,-12.0
0.04,-0.0044982981169220835,0.1230669568346041,0.2815106616674298,-6.7978252160341075,24.255235094201797,-620.6918664944308,-12.0
0.041,-0.004204725929431711,0.11596026607816179,0.3055677857407759,-7.4140814869594,23.859621912471695,-611.8415178884208,-12.0
0.042,-0.0038872938184586025,0.10824172348664328,0.3292311161045532,-8.02154965546219,23.467640184303633,-603.1153692143303,-12.0
0.043,-0.0035463937670393384,0.09992005527900197,0.35250426193078827,-8.62035305018185,23.079245545020605,-594.5116840987105,-12.0
0.044,-0.0031824141713381283,0.0910038652173003,0.3753907884078348,-9.210613275725267,22.694394382743774,-586.0287505737954,-12.0
0.045,-0.002795739890848821,0.08150163652400172,0.3978942175858936,-9.792450239816695,22.313043826090293,-577.6648806927168,-12.0
0.046,-0.0023867522801795556,0.07142173322449288,0.4200180289485295,-10.365982172287987,21.9351517354049,-569.4184102601997,-12.0
0.047,-0.001955829234128854,0.06077240190276848,0.4417656601821842,-10.931325649935266,21.56067669145142,-561.2876984802316,-12.0
0.048,-0.0015033452290625837,0.049561773340912794,0.4631405078907717,-11.488595619726409,21.189577984817248,-553.2711276270727,-12.0
0.049,-0.0010296713647564293,0.03779786417211543,0.48414592831602216,-12.037905422199955,20.8218156052348,-545.3671027135543,-12.0
0.05,-0.0005351754109702927,0.02548857868010572,0.5047852381241732,-12.579366816939158,20.457350230007606,-537.5740511300149,-12.0
0.051,-2.0221837000303222e-05,0.012641710067453765,0.5250617149517574,-13.113090000518252,20.09614321567496,-529.8904223897496,-12.0
0.052,0.0005148281475523768,-0.0007350579277342478,0.5449785981093279,-13.63918362938644,19.73815658754728,-522.3146878045889,-12.0
0.053,0.00106961655464098,-0.01463414949793876,0.5645390892475806,-14.157754841578068,19.383353029742878,-514.8453401770822,-12.0
0.054,0.0016437885799249043,-0.029048095242463254,0.5837463530182777,-14.668909278278852,19.03169587528315,-507.4808934947155,-12.0
0.055,0.0022369925595305345,-0.043969530477005844,0.6026035178074558,-15.172751107750917,18.683149095172258,-500.21988259074993,-12.0
0.056,0.0028488799430726654,-0.05939119404993427,0.6211136762469732,-15.669383042084492,18.337677290547074,-493.0608629065483,-12.0
