Time[sec],x1[k+1],x2[k+1],x3[k+1],x4[k+1]
0.001,-1.3961208525269318e-05,0.0003571746085478457,-0.02785025855246564,0.7126494745066222
0.002,-5.5556677980130365e-05,0.0014219183130473846,-0.0552691283536485,1.4151600574211043
0.003,-0.00012435704512875944,0.003184162529312611,-0.08226073661931751,2.107674012022778
0.004,-0.0002199370896991231,0.005633980912430063,-0.10882915779522656,2.7903315973675356
0.005,-0.0003418756401680536,0.008761586397795151,-0.13497841482326034,3.463271110149482
0.006,-0.0004897560145504375,0.012557341943573308,-0.16071247042136852,4.126628688064111
0.007,-0.0006352414904317759,0.016297356394414864,-0.130334750110809,3.3552403183402038
0.008,-0.0007505773077317218,0.019271476913470014,-0.10041241053841704,2.594815018684916
0.009,-0.0008362166283569407,0.021490589504573884,-0.07094102350342199,1.845199012042003
0.01,-0.0008926082146492642,0.022965427469113644,-0.04191621811218378,1.1062406718585176
0.011,-0.0009201964862046151,0.023706573540674264,-0.01333367991224961,0.3777904937395231
0.012,-0.0009194215746951957,0.023724461955041833,0.014810850017456786,-0.3402989338611928
0.013,-0.0008907193811106337,0.023029380598134728,0.04252157601222541,-1.0481729600552514
0.014,-0.0008345216308425959,0.021631473084503895,0.06980264873524367,-1.7459749009493608
0.015,-0.0007512559276319069,0.019540740799215636,0.09665816607444729,-2.4338460685557775
0.016,-0.0006413457992447458,0.01676704467275206,0.12309217391742247,-3.111925795918176
0.017,-0.0005052107517671146,0.013320107234317962,0.14910866705325562,-3.7803514661837365
0.018,-0.0003432663235829052,0.009209514655040866,0.1747115900696546,-4.439258541531802
0.019,-0.00015592413222412346,0.004444718561113173,0.19990483814495721,-5.088780588841332
0.02,5.640807473053923e-05,-0.0009649620243548963,0.22469225790050618,-5.72904930718478
0.021,0.0002933263693534593,-0.00701033875899074,0.2490776482442995,-6.360194555045631
0.022,0.0005544306026176657,-0.013682352360862291,0.27306476107153643,-6.982344373248015
0.023,0.00083932435651164,-0.02097207076377882,0.2966573020724502,-7.595625011073143
0.024,0.0011476148971025831,-0.02887068730263924,0.31985893152572614,-8.200160951948865
0.025,0.001478913119855736,-0.0373695186529478,0.34267326520676844,-8.796074942626984
0.026,0.0018328335177021588,-0.04646000349419419,0.36510387495874674,-9.383488012091833
0.027,0.002208994135196208,-0.056133700731316905,0.3871542894699203,-9.962519496738304
0.028,0.0026070165251473342,-0.06638228779541563,0.40882799501424205,-10.533287064425874
