Time[sec],x1[k],x2[k],x3[k],x4[k],d/dt x3[k],d/dt x4[k],voltage
0.0,0.0,0.0,0.0,0.0,-28.067341181049954,717.7668185329665,12.0
0.001,-1.3961208525269318e-05,0.0003571746085478457,-0.02785025855246564,0.7126494745066222,-27.63387175677434,707.55614595235,12.0
0.002,-5.5556677980130365e-05,0.0014219183130473846,-0.0552691283536485,1.4151600574211043,-27.20455562351528,697.4887273095935,12.0
0.003,-0.00012435704512875944,0.003184162529312611,-0.08226073661931751,2.107674012022778,-26.779339969985248,687.5625580106137,12.0
0.004,-0.0002199370896991231,0.005633980912430063,-0.10882915779522656,2.7903315973675356,-26.358172863172317,677.7756618365709,12.0
0.005,-0.0003418756401680536,0.008761586397795151,-0.13497841482326034,3.463271110149482,-25.941003230414196,668.1260903516214,12.0
0.006,-0.0004897560145504375,0.012557341943573308,-0.16071247042136852,4.126628688064111,30.6069014146088,-776.9217113771609,-12.0
0.007,-0.0006352414904317759,0.016297356394414864,-0.130334750110809,3.3552403183402038,30.149287103497134,-765.881024920447,-12.0
0.008,-0.0007505773077317218,0.019271476913470014,-0.10041241053841704,2.594815018684916,29.69613007156677,-754.9952037164165,-12.0
0.009,-0.0008362166283569407,0.021490589504573884,-0.07094102350342199,1.845199012042003,29.247372465276126,-744.26208016533,-12.0
0.01,-0.0008926082146492642,0.022965427469113644,-0.04191621811218378,1.1062406718585176,28.80295737762468,-733.6795171178441,-12.0
0.011,-0.0009201964862046151,0.023706573540674264,-0.01333367991224961,0.3777904937395231,28.362828835375193,-723.2454074733522,-12.0
0.012,-0.0009194215746951957,0.023724461955041833,0.014810850017456786,-0.3402989338611928,27.926931785567383,-712.9576737643883,-12.0
0.013,-0.0008907193811106337,0.023029380598134728,0.04252157601222541,-1.0481729600552514,27.4952120815778,-702.8142677254192,-12.0
0.014,-0.0008345216308425959,0.021631473084503895,0.06980264873524367,-1.7459749009493608,27.06761646963536,-692.8131698756004,-12.0
0.015,-0.0007512559276319069,0.019540740799215636,0.09665816607444729,-2.4338460685557775,26.644092575586697,-682.9523891089026,-12.0
0.016,-0.0006413457992447458,0.01676704467275206,0.12309217391742247,-3.111925795918176,26.224588893335113,-673.2299623378376,-12.0
0.017,-0.0005052107517671146,0.013320107234317962,0.14910866705325562,-3.7803514661837365,25.80905477157407,-663.6439540813357,-12.0
0.018,-0.0003432663235829052,0.009209514655040866,0.1747115900696546,-4.439258541531802,25.397440400599283,-654.1924560546709,-12.0
0.019,-0.00015592413222412346,0.004444718561113173,0.19990483814495721,-5.088780588841332,24.989696800559138,-644.8735868055671,-12.0
0.02,5.640807473053923e-05,-0.0009649620243548963,0.22469225790050618,-5.72904930718478,24.585775808921706,-635.6854913244616,-12.0
0.021,0.0002933263693534593,-0.00701033875899074,0.2490776482442995,-6.360194555045631,24.185630068073003,-626.6263406586928,-12.0
0.022,0.0005544306026176657,-0.013682352360862291,0.27306476107153643,-6.982344373248015,23.789213014789212,-617.6943315873884,-12.0
0.023,0.00083932435651164,-0.02097207076377882,0.2966573020724502,-7.595625011073143,23.39647886833084,-608.887686251256,-12.0
0.024,0.0011476148971025831,-0.02887068730263924,0.31985893152572614,-8.200160951948865,23.007382618728357,-600.2046517884196,-12.0
0.025,0.001478913119855736,-0.0373695186529478,0.34267326520676844,-8.796074942626984,22.621880013554478,-591.6434999208934,-12.0
0.026,0.0018328335177021588,-0.04646000349419419,0.36510387495874674,-9.383488012091833,22.23992754916923,-583.2025266864113,-12.0
0.027,0.002208994135196208,-0.056133700731316905,0.3871542894699203,-9.962519496738304,21.86148245923857,-574.8800520815137,-12.0
0.028,0.0026070165251473342,-0.06638228779541563,0.40882799501424205,-10.533287064425874,21.48650270374349,-566.6744197205489,-12.0
0.029,0.003026525703232245,-0.07719755888303725,0.43012843622033065,-11.095906739403706,21.114946957616368,-558.583996482348,-12.0
0.03,0.0034671501094804937,-0.08857142341061897,0.45105901674124227,-11.650492924184709,20.74677460069419,-550.6071722000765,-12.0
0.031,0.003928521568550349,-0.10049590443221568,0.4716230999413215,-12.19715842194041,20.381945707446764,-542.7423593437173,-12.0
0.032,0.004410275249391098,-0.11296313703908793,0.49182400959155526,-12.736014459153154,20.020421036592865,-534.9879926989082,-12.0
0.033,0.0049120496240703145,-0.1259653667345323,0.511665030575249,-13.26717070861834,19.662162020565905,-527.3425290408284,-12.0
0.034,0.005433486429090775,-0.13949494788706387,0.5311494095585567,-13.790735311336515,19.307130755454388,-519.8044468237906,-12.0
0.035,0.005974230630251313,-0.15354434229467714,0.5502803556113103,-14.306814896831858,18.955289991615363,-512.3722458930948,-12.0
0.036,0.006533930384501064,-0.16810611765685363,0.5690610408685792,-14.815514604777038,18.606603123724508,-505.04444717839505,-12.0
0.037,0.007112237002705036,-0.18317294607600682,0.5874946011784643,-15.316938106200453,18.261034181002792,-497.8195923929741,-12.0
0.038,0.007708804911453801,-0.19873760253045958,0.6055841367616133,-15.81118762509577,17.91854781726795,-490.6962437273218,-12.0
0.039,0.00832329162146889,-0.2147929635527749,0.6233327127813306,-16.298363957124664,17.579109302225202,-483.67298358383385,-12.0
0.04,0.00895535769190232,-0.2313320057820857,0.6407433599675948,-16.77856649010218,17.242684511991822,-476.74841428628696,-12.0
0.041,0.009604666695804521,-0.24834780455385472,0.6578190752240727,-17.251893223951548,16.909239919845007,-469.92115779681654,-12.0
0.042,0.010270885181542233,-0.2658335323662281,0.6745628222863658,-17.718440792403317,16.578742586223612,-463.18985540821654,-12.0
0.043,0.01095368264725268,-0.28378245774892374,0.6909775322095872,-18.17830447900123,16.251160151148536,-456.5531675167677,-12.0
0.044,0.011652731507626624,-0.30218794389724224,0.7070661039542152,-18.631578236428766,15.926460825225806,-450.00977334808914,-12.0
0.045,0.012367707061615878,-0.3210434473357848,0.7228314049585917,-19.07835470541481,15.604613380824386,-443.55837068894016,-12.0
0.046,0.013098287461678723,-0.3403425166307603,0.7382762716901002,-19.51872523295132,15.28558714354224,-437.1976756287486,-12.0
0.047,0.013844153683642387,-0.3600787911225334,0.7534035101869909,-19.95277989022397,14.969351983789943,-430.9264223051947,-12.0
0.048,0.014604989497170514,-0.38024599967804146,0.76821589659101,-20.380607490261045,14.655878308489523,-424.7433626537759,-12.0
0.049,0.01538048142943456,-0.40083795923607235,0.7827161777651215,-20.802295608509212,14.345137051527141,-418.6472661159697,-12.0
0.05,0.016170318725922634,-0.4218485732660473,0.7969070719462226,-21.217930604630986,14.037099663682968,-412.6369193301134,-12.0
0.051,0.01697419334672823,-0.44327183131633946,0.8107912689444272,-21.627597628900883,13.73173810909147,-406.71112604011176,-12.0
0.052,0.017791799928245935,-0.4651018075028598,0.8243714307815602,-22.031380643579745,13.42902485534224,-400.86870679229276,-12.0
0.053,0.01862283575483583,-0.48733265930469816,0.83765019220121,-22.429362439948036,13.128932865418438,-395.1084986936577,-12.0
0.054,0.01946700073150927,-0.5099586263923838,0.8506301611643294,-22.821624654877144,12.831435589827077,-389.4293551766608,-12.0
0.055,0.020323997357022776,-0.5329740294699522,0.8633139193381985,-23.20824778720458,12.536506958808427,-383.8301457667597,-12.0
0.056,0.021193530697372766,-0.5563732691306089,0.8757040225788302,-23.589311213916172,12.244121374623417,-378.30975585269,-12.0
