,x_max,x_min
x1[k],2.7925268031909267,-1.6853943172858552
x2[k],1001.7140713834532,-8.002528541453419
x3[k],11.112989477457418,-14.505034189358144
x4[k],50.87830766836507,-46.62016687069797
d/dt x3[k],79.03417121998248,-69.32881100668264
d/dt x4[k],1382.4593978659427,-1321.9556849088108
voltage,12.0,-12.0
