,x1[k],x2[k],x3[k],x4[k],d/dt x3[k],d/dt x4[k],voltage
0.0,0.37637874181812403,0.007925519439859237,0.5662042622026037,0.4781630388690796,0.27811162330637496,0.7542194674306446,1.0
0.001,0.3763756240301707,0.007925873177342184,0.5651171268749655,0.48547237860876036,0.2810333051017258,0.7504439106954188,1.0
0.002,0.3763663350167344,0.007926927674915641,0.5640468308147468,0.4926777280897209,0.28392699277782796,0.7467213243561845,1.0
0.003,0.3763509706623169,0.007928672960886373,0.562993212916008,0.49978054644534775,0.28679304229468383,0.74305096718276,1.0
0.004,0.376329625926222,0.00793109920443164,0.5619561141326884,0.5067822722525679,0.2896318036925201,0.739432108437156,1.0
0.005,0.37630239486359535,0.007934196712668703,0.5609353774291812,0.513684323961206,0.29244362121261275,0.7358640276545828,1.0
0.006,0.37626937063681565,0.007937955928727577,0.5599308477470414,0.5204881001765587,0.2952288333822103,0.7323460144990275,1.0
0.006999999999999999,0.37623064552675145,0.00794236742984175,0.5589423719720218,0.5271949799393336,0.2979877730986194,0.7288773686201798,1.0
0.008,0.37618631094380717,0.007947421925469529,0.5579697989016602,0.533806323001089,0.3007207677119002,0.7254573995126609,1.0
0.009000000000000001,0.3761364574385086,0.007953110255482364,0.5570129792140677,0.5403234700898412,0.303428139104653,0.7220854263802732,1.0
0.01,0.3760811747116777,0.007959423388411777,0.5560717654377738,0.5467477431670693,0.30611020376927084,0.7187607780046464,1.0
0.011000000000000001,0.37602055162644565,0.007966352419432247,0.555146011916818,0.5530804457234842,0.30876727289628125,0.7154827925940996,1.0
0.012,0.37595467621852263,0.007973888568594493,0.5542355747803496,0.5593228630380347,0.3113996524520812,0.7122508176512703,1.0
0.013000000000000001,0.37588363570660477,0.007982023179038981,0.5533403119118712,0.565476262439819,0.3140076432574746,0.7090642098392614,1.0
0.013999999999999999,0.3758075165018207,0.007990747715347604,0.5524600829209683,0.57154189354971,0.3165915410603533,0.7059223348581439,1.0
0.015,0.3757264042130919,0.008000053762483698,0.5515947491256228,0.577520988435607,0.31915163658352147,0.7028245673655444,1.0
0.016,0.37564038366228797,0.00800993302332146,0.5507441735091525,0.5834147619747773,0.32168821563207733,0.6997702907915355,1.0
0.017,0.3755495388923573,0.008020377317186834,0.5499082206953454,0.5892244120677029,0.3242015591580859,0.6967588972293176,1.0
0.018000000000000002,0.3754539531758736,0.008031378578338343,0.549086756922515,0.5949511198607468,0.32669194332779605,0.693789787321399,1.0
0.019,0.37535370902416976,0.008042928854364166,0.5482796500160505,0.600596049981109,0.32915963959239275,0.6908623701395009,1.0
0.02,0.3752488881997759,0.008055020304113572,0.547486769352615,0.6061603508401442,0.3316049147782654,0.6879760630295838,1.0
0.021,0.3751395717213253,0.00806764519669171,0.5467079858434244,0.611645154780576,0.33402803113274265,0.6851302915365232,1.0
0.022000000000000002,0.37502583987206334,0.008080795909946434,0.5459431719084155,0.6170515782982803,0.3364292463911249,0.6823244892907356,1.0
0.023,0.3749077722087409,0.008094464928901608,0.5451922014494546,0.6223807222719242,0.3388088138459828,0.6795580978907966,1.0
0.024,0.37478544756981985,0.008108644844287818,0.5444549498252982,0.627633672178306,0.34116698241240173,0.6768305667933507,1.0
0.025,0.3746589440885315,0.008123328350386141,0.5437312938143175,0.6328114984085115,0.3435039967220514,0.6741413531515776,1.0
0.026000000000000002,0.3745283391972265,0.008138508244105934,0.5430211115992206,0.6379152564029578,0.345820097165563,0.6714899217460728,1.0
0.027000000000000003,0.3743937096338066,0.00815417742376811,0.5423242827465322,0.6429459868296614,0.34811551994728823,0.6688757448936702,1.0
0.027999999999999997,0.3742551314508406,0.00817032888750872,0.5416406881793107,0.6479047158182286,0.35039049715601195,0.6662983023278292,1.0
0.028999999999999998,0.3741126800231426,0.008186955731900767,0.5409702101537618,0.6527924551618168,0.35264525682655934,0.6637570810953628,1.0
0.03,0.3739664300565528,0.008204051150411831,0.5403127322330841,0.6576102025431515,0.35488002300818905,0.661251575440895,1.0
0.031,0.37381645559486615,0.008221608432117437,0.539668139265688,0.6623589417230552,0.3570950158224836,0.6587812867104363,1.0
0.032,0.37366283002603295,0.008239620960515571,0.5390363173651586,0.6670396427141523,0.3592904515171024,0.6563457232625197,1.0
0.033,0.37350562608983084,0.008258082212140036,0.5384171538868227,0.6716532619840399,0.3614665425278492,0.6539444003643042,1.0
0.034,0.3733449158848021,0.008276985755275945,0.537810537406077,0.676200742643491,0.363623497536564,0.6515768400953121,1.0
0.035,0.3731807708759537,0.008296325248572461,0.5372163576950538,0.6806830146496883,0.36576152153324376,0.6492425712434999,1.0
0.036000000000000004,0.3730132619018417,0.008316094439740747,0.5366345057007293,0.6851009949969783,0.3678808158747048,0.6469411292076905,1.0
0.037000000000000005,0.37284245917969927,0.008336287164520001,0.5360648735274939,0.6894555878683553,0.3699815783323034,0.6446720559200303,1.0
0.038,0.37266843231259306,0.008356897345368161,0.5355073544152094,0.693747684827257,0.372064003150947,0.6424348997478871,1.0
0.039,0.3724912502957762,0.00837791899026341,0.5349618427191328,0.6979781649931251,0.37412828110359886,0.6402292154040269,1.0
0.04,0.37231098152343084,0.008399346191454509,0.534428233889049,0.7021478952244419,0.37617459954788335,0.638054563852976,1.0
0.040999999999999995,0.37212769379568245,0.008421173124175927,0.5339064244478722,0.7062577303069117,0.37820314248414516,0.6359105122147595,1.0
0.042,0.37194145432294934,0.008443394045724298,0.5333963119761526,0.7103085130887522,0.38021409059883615,0.6337966336956053,1.0
0.043,0.37175232973255923,0.008466003294230105,0.5328977950916777,0.7143010746605721,0.382207621320314,0.6317125074959126,1.0
0.044000000000000004,0.37156038607453856,0.008488995287542628,0.5324107734309508,0.7182362345186721,0.38418390887005466,0.629657718726673,1.0
0.045,0.3713656888278107,0.008512364522061737,0.5319351476298569,0.722114800736104,0.38614312431602865,0.6276318583219345,1.0
0.046,0.3711683029072769,0.008536105571453385,0.5314708193024955,0.7259375701507382,0.3880854356307956,0.6256345229425934,1.0
0.047,0.3709682926665895,0.008560213085942528,0.5310176910293628,0.7297053284688328,0.39001100772625236,0.6236653149232634,1.0
0.048,0.3707657219044561,0.008584681791135633,0.5305756663379944,0.7334188504374215,0.3919200025074216,0.6217238421840585,1.0
0.049,0.37056065387005416,0.008609506486963807,0.5301446496855955,0.7370788999990394,0.3938125789213693,0.6198097181513814,1.0
0.05,0.3703531512681941,0.00863468204666104,0.5297245464422787,0.7406862304413013,0.395688893004711,0.6179225616813336,1.0
0.051,0.3701432762643753,0.008660203415758499,0.5293152628746027,0.7442415845441206,0.3975490979304752,0.6160619969843287,1.0
0.052000000000000005,0.3699310904897358,0.008686065611094555,0.5289167061294078,0.7477456947246129,0.3993933440543358,0.6142276535508858,1.0
0.053,0.3697166550473713,0.008712263719644717,0.5285287842147869,0.7511992832083447,0.4012217789681138,0.6124191660639927,1.0
0.054000000000000006,0.36950003052025093,0.008738792897141164,0.528151405977706,0.7546030622313492,0.4030345475617691,0.6106361742957856,1.0
0.055,0.3692812769697233,0.008765648367943631,0.5277844811018534,0.7579577340590415,0.4048317920349018,0.6088783230975634,1.0
0.055999999999999994,0.3690604539426269,0.008792825423769232,0.5274279200871215,0.7612639911720755,0.40661365195429094,0.6071452623047034,1.0
0.057,0.36883762047621177,0.008820319422714667,0.52708163423385,0.7645225164094144,0.40838026429963215,0.6054366466633888,1.0
0.057999999999999996,0.36861283510275794,0.008848125788320458,0.5267455356277879,0.7677339831052344,0.41013176350757374,0.6037521357604783,1.0
0.059000000000000004,0.36838615585412765,0.008876240008645491,0.5264195371252625,0.7708990552243159,0.4118682815153311,0.6020913939541481,1.0
0.06,0.3681576402662571,0.008904657635351374,0.5261035523385508,0.7740183874959817,0.41358994780389463,0.6004540903052741,1.0
0.061,0.36792734538221855,0.008933374282987109,0.5257974956245063,0.7770926255187227,0.41529688943300164,0.5988398985237645,1.0
0.062,0.36769532775451824,0.008962385628381525,0.525501282074956,0.7801224058490436,0.41698923107167124,0.59724849692294,1.0
0.063,0.3674616434540812,0.008991687409105735,0.5252148274922241,0.7831083562263532,0.41866709506695937,0.5956795683045302,1.0
0.064,0.36722634807242066,0.009021275422886168,0.5249380483799445,0.786051095658778,0.420330601473632,0.5941327999146002,1.0
0.065,0.36698949672556885,0.009051145526773472,0.5246708619300017,0.7889512345446729,0.42197986809385846,0.5926078833812732,1.0
0.066,0.36675114405807335,0.009081293636303925,0.5244131860093925,0.7918093747952272,0.4236150105172022,0.5911045146518944,1.0
0.067,0.36651134424693527,0.00911171572467004,0.5241649391472782,0.7946261099557067,0.4252361421602151,0.5896223939308914,1.0
0.068,0.3662701510054951,0.009142407821900095,0.5239260405222226,0.7974020253253816,0.4268433743056479,0.588161225618305,1.0
0.069,0.3660276175853625,0.009173366014307462,0.5236964099537331,0.8001376980379896,0.4284368161306314,0.586720718268446,1.0
0.07,0.3657837967783052,0.009204586443947178,0.5234759678939618,0.8028336971411283,0.43001657473453603,0.585300584549098,1.0
0.071,0.36553874092520144,0.0092360653071047,0.5232646354041685,0.8054905838171618,0.4315827552062869,0.5839005411285622,1.0
0.07200000000000001,0.3652925019171812,0.009267798853858186,0.5230623341481792,0.8081089114471297,0.4331354606478565,0.5825203086427583,1.0
0.073,0.36504513119897936,0.009299783387338745,0.5228689863811182,0.8106892257188161,0.43467479221004773,0.5811596116398101,1.0
0.07400000000000001,0.3647966797723165,0.009332015262988515,0.5226845149381499,0.813232064735119,0.4362008491283335,0.5798181785244776,1.0
0.075,0.364547198199222,0.009364490887828276,0.522508843223415,0.8157379591210183,0.4377137287582714,0.5784957415033074,1.0
0.076,0.36429673660530065,0.009397206719734385,0.5223418951991567,0.8182074321291672,0.439213526610503,0.5771920365304861,1.0
0.077,0.364045344682272,0.009430159266819569,0.522183595376383,0.820640999730324,0.44070033638148326,0.5759068032614258,1.0
0.078,0.3637930716907519,0.00946334508678106,0.5220338688051207,0.8230391707085322,0.44217424998549926,0.5746397850039306,1.0
0.079,0.3635399664648208,0.009496760785998556,0.5218926410611646,0.8254024467927649,0.4436353575968376,0.5733907286507707,1.0
0.08,0.3632860774143078,0.009530403018955356,0.5217598382374833,0.8277313227414311,0.44508374767874365,0.5721593846362955,1.0
0.081,0.36303145252772245,0.009564268487569723,0.5216353869344019,0.8300262864399554,0.4465195070159914,0.5709455068863837,1.0
0.08199999999999999,0.36277613937514747,0.009598353940533376,0.5215192142499413,0.8322878189973048,0.4479427207471153,0.5697488527689315,1.0
0.083,0.36252018511107903,0.00963265617265873,0.5214112477703358,0.8345163948412273,0.4493534723962368,0.5685691830450008,1.0
0.084,0.3622636364772186,0.009667172024234718,0.5213114155607279,0.8367124818122227,0.45075184390449075,0.5674062618206159,1.0
0.085,0.36200653980474623,0.009701898380458521,0.5212196461569354,0.838876541246447,0.45213791565830047,0.5662598565042075,1.0
0.086,0.361748941016925,0.009736832170821143,0.5211358685566638,0.841009028065319,0.4535117665194846,0.5651297377606398,1.0
0.087,0.36149088563253584,0.009771970368374823,0.521060012209202,0.8431103908823185,0.4548734738601315,0.5640156794564752,1.0
0.08800000000000001,0.3612324187680282,0.00980730998918682,0.5209920070076623,0.8451810720826299,0.45622311358981044,0.5629174586190877,1.0
0.08900000000000001,0.36097358514003985,0.009842848091741642,0.5209317832805922,0.8472215079102813,0.4575607601848297,0.5618348553919585,1.0
0.09,0.3607144290678732,0.009878581776350986,0.5208792717837455,0.8492321285541423,0.45888648671711946,0.5607676529905562,1.0
0.091,0.3604549944759274,0.009914508184571614,0.5208344036920174,0.8512133582327533,0.46020036488273147,0.5597156376588153,1.0
0.092,0.36019532489608735,0.009950624498631027,0.5207971105915387,0.8531656152780038,0.4615024650299571,0.558678598626206,1.0
0.09300000000000001,0.35993546346980043,0.009986927940897075,0.5207673244722668,0.8550893122124393,0.4627928561856753,0.5576563280680522,1.0
0.094,0.35967545295041503,0.010023415773314408,0.5207449777203524,0.8569848558313364,0.4640716060828923,0.5566486210634249,1.0
0.095,0.3594153357057824,0.010060085296807552,0.5207300031102792,0.8588526472895813,0.4653387811894846,0.5556552755505946,1.0
0.096,0.35915515372026946,0.010096933850765119,0.5207223337978418,0.8606930821767986,0.4665944467337343,0.5546760922884713,1.0
0.09699999999999999,0.35889494859693,0.010133958812504892,0.5207219033130278,0.8625065505952246,0.4678386667305179,0.5537108748166498,1.0
0.098,0.3586347615596374,0.010171157596746024,0.5207286455530447,0.8642934372365302,0.4690715040071338,0.5527594294159971,1.0
0.099,0.3583746334551808,0.010208527655088258,0.5207424947754923,0.8660541214576087,0.47029302022877595,0.5518215650697684,1.0
0.1,0.3581146047553249,0.010246066475498075,0.5207633855916771,0.8677889773553409,0.47150327592365143,0.5508970934252491,1.0
0.10099999999999999,0.35785471555843806,0.010283771581854381,0.5207912529606922,0.8694983738327028,0.4727023305056912,0.5499858287598126,1.0
0.102,0.35759500559163565,0.01032164053342781,0.5208260321827672,0.8711826746744925,0.47389024229976756,0.5490875879420809,1.0
0.10300000000000001,0.3573355142130884,0.010359670924340338,0.5208676588924432,0.8728422386259035,0.47506706856759917,0.5482021903916404,1.0
0.10400000000000001,0.3570762804136948,0.010397860383111503,0.5209160690528304,0.8744774194585089,0.4762328655301853,0.5473294580451745,1.0
0.105,0.35681734281895316,0.010436206572180274,0.5209711989496328,0.8760885660397627,0.4773876883911056,0.5464692153208096,1.0
0.106,0.35655873969080204,0.010474707187433308,0.5210329851853042,0.8776760224015656,0.47853159135948575,0.5456212890829419,1.0
0.107,0.3563005089294302,0.01051335995773944,0.5211013646733301,0.8792401278079045,0.4796646276726303,0.5447855086075403,1.0
0.10800000000000001,0.3560426880750511,0.010552162644491082,0.5211762746326472,0.8807812168214808,0.48078684961830087,0.5439617055479696,1.0
0.109,0.3557853143088323,0.010591113041255889,0.5212576525834883,0.8822996193542917,0.48189830855264265,0.5431497139089881,1.0
0.11,0.355528424455307,0.010630208973241502,0.5213454363409372,0.8837956607453763,0.48299905492524237,0.5423493700069207,1.0
0.111,0.35527205498454884,0.0106694482967928,0.5214395640089361,0.8852696618338209,0.48408913830284045,0.5415605124322468,1.0
0.11199999999999999,0.35501624201338405,0.010708828899014509,0.5215399739759063,0.8867219390135315,0.48516860738810835,0.5407829820214808,1.0
0.113,0.35476102130702536,0.010748348697342432,0.5216466049097729,0.8881528042954596,0.4862375100403208,0.540016621825259,1.0
0.114,0.35450642828068024,0.010788005639120184,0.5217593957530998,0.8895625653690201,0.48729589329572265,0.5392612770768459,1.0
0.115,0.35425249800113595,0.010827797701181316,0.5218782857183372,0.8909515256627146,0.4883438033875987,0.5385167951610477,1.0
0.11599999999999999,0.35399926518832237,0.010867722889436682,0.5220032142831755,0.8923199844039763,0.4893812857660469,0.5377830255835265,1.0
0.11699999999999999,0.35374676421685275,0.010907779238466959,0.5221341211860064,0.8936682366782621,0.49040838511746354,0.5370598199405061,1.0
0.11800000000000001,0.3534950291175444,0.01094796481112018,0.5222709464214861,0.8949965734873997,0.49142514538374243,0.5363470318888576,1.0
0.11900000000000001,0.35324409357891917,0.010988277698114174,0.5224136302362,0.8963052818072139,0.4924316097811941,0.5356445171165594,1.0
0.12,0.35299399094866785,0.011028716017646026,0.5225621131244559,0.8975946446441192,0.4934278208191012,0.534952133313689,1.0
0.121,0.3527447542316634,0.011069277915437442,0.5227163358296656,0.8988649410283148,0.49441382030143566,0.5342697401756936,1.0
0.122,0.3524964160941281,0.011109961564009577,0.5228762393359481,0.9001164461190204,0.49538964935808544,0.5335971993496266,1.0
0.12300000000000001,0.35224900886732063,0.01115076516202057,0.523041764860566,0.9013494313005916,0.49635534847358664,0.5329343743850316,1.0
0.124,0.35200256454692064,0.011191686934146072,0.5232128538533145,0.9025641641996556,0.49731095749489906,0.5322811307250409,1.0
0.125,0.3517571147943695,0.011232725130716287,0.523389447992843,0.9037609087376437,0.49825651564844586,0.5316373356794564,1.0
0.126,0.3515126909381958,0.011273878027357619,0.5235714891830672,0.9049399251826545,0.49919206155688567,0.5310028583981788,1.0
0.127,0.35126932397532373,0.011315143924638775,0.5237589195496709,0.9061014702006532,0.5001176332556245,0.5303775698449774,1.0
0.128,0.35102704457236605,0.01135652114772123,0.5239516814366956,0.9072457969060307,0.5010332682090695,0.5297613427715913,1.0
0.129,0.35078588306690334,0.011398008046013961,0.5241497174032134,0.9083731549115341,0.5019390033266284,0.529154051692155,1.0
0.13,0.35054586946874966,0.011439602992832327,0.5243529702200846,0.9094837903775856,0.5028348749784641,0.5285555728579423,1.0
0.131,0.35030703346120445,0.011481304385061016,0.5245613828667948,0.9105779460610041,0.5037209190110016,0.5279657842324155,1.0
0.132,0.3500694044022814,0.011523110642822429,0.5247748985283914,0.9116558613629252,0.504597170762141,0.5273845654666898,1.0
0.133,0.3498330113222941,0.011565020209578121,0.5249934605983898,0.9127177723136257,0.5054636650600731,0.5268117979071043,1.0
0.134,0.3495978829277633,0.011607031551485604,0.525217012671479,0.9137639116658267,0.5063204362500417,0.5262473645476057,1.0
0.135,0.3493640476052921,0.011649143156761358,0.5254454985363343,0.9147945089870877,0.507167518220788,0.5256911499825968,1.0
0.136,0.34913153342050285,0.011691353535630245,0.5256788621765032,0.91580979066676,0.5080049444088243,0.525143040403265,1.0
0.13699999999999998,0.3489003681191642,0.011733661220018468,0.5259170477677908,0.916809979960301,0.5088327478122795,0.5246029235749027,1.0
0.138,0.3486705791283074,0.011776064763250337,0.526159999675718,0.917795297033023,0.5096509610045123,0.5240706888145226,1.0
0.139,0.3484421935573319,0.011818562739748826,0.5264076624530516,0.9187659590032909,0.5104596161474965,0.5235462269687577,1.0
0.14,0.3482152381991014,0.011861153744739781,0.5266599808374018,0.9197221799851786,0.5112587450049849,0.5230294303920402,1.0
0.141,0.34798973953102996,0.011903836393959725,0.52691689974889,0.9206641711305981,0.5120483789554537,0.5225201929250538,1.0
0.142,0.3477657237161607,0.011946609323367137,0.5271783642878783,0.9215921406709184,0.5128285490048328,0.5220184098734512,1.0
0.14300000000000002,0.3475432166042363,0.011989471188857148,0.5274443197327665,0.9225062939580803,0.5135992857990248,0.5215239779868304,1.0
0.14400000000000002,0.3473222437327558,0.012032420665980325,0.5277147115378593,0.9234068335051129,0.5143606196361913,0.521036795438021,1.0
0.145,0.3471028303248071,0.012075456450029462,0.5279894853370215,0.9242939589728434,0.5151125804651558,0.5205567618297463,1.0
0.146,0.34688500129232425,0.012118577255514016,0.5282685869377288,0.9251678672461304,0.5158551979066883,0.5200837781557485,1.0
0.147,0.34666878123976325,0.012161781815589356,0.5285519623144169,0.9260287525167082,0.5165885012764074,0.5196177467585571,1.0
0.14800000000000002,0.3464541944630263,0.01220506888202738,0.5288395576103364,0.9268768062868727,0.5173125195873065,0.5191585713275281,1.0
0.149,0.3462412649504408,0.012248437224956622,0.5291313191357965,0.9277122174068685,0.5180272815608442,0.5187061568797418,1.0
0.15,0.34603001638373104,0.012291885632605635,0.5294271933664659,0.9285351721117983,0.5187328156378386,0.5182604097411511,1.0
0.151,0.34582047213898426,0.012335412911049507,0.5297271269417299,0.9293458540580682,0.519429149989167,0.5178212375279677,1.0
0.152,0.34561265528761037,0.012379017883959502,0.5300310666631003,0.9301444443593779,0.5201163125262773,0.5173885491282836,1.0
0.153,0.3454065885972979,0.012422699392355706,0.5303389594926797,0.9309311216222683,0.520794330911513,0.5169622546839235,1.0
0.154,0.3452022945329639,0.012466456294362634,0.5306507525516739,0.9317060619812376,0.5214632325682562,0.516542265572519,1.0
0.155,0.3449997952577013,0.012510287464967683,0.5309663931189551,0.9324694391334373,0.5221230446908949,0.5161284943898012,1.0
0.156,0.3447991126337196,0.012554191795782729,0.5312858286296775,0.9332214243729091,0.5227737942546017,0.5157208549321298,1.0
0.157,0.3446002682204579,0.012598168195117568,0.5316090066796132,0.9339621865790104,0.5234155080133045,0.5153192622023295,1.0
0.158,0.3444032832772945,0.012642215587552805,0.5319358750202949,0.9346918922783765,0.524048212516435,0.5149236323781244,1.0
0.159,0.34420817876704773,0.0126863329134285,0.532266381552607,0.9354107057192599,0.5246719341287871,0.5145338827742794,1.0
0.16,0.3440149753549456,0.01273051912883111,0.5326004743295187,0.9361187888726632,0.52528669903155,0.5141499318419822,1.0
0.161,0.34382369340950714,0.012774773205373615,0.5329381015550145,0.9368163014638666,0.5258925332310648,0.5137716991527714,1.0
0.162,0.34363435300342143,0.012819094129978328,0.5332792115830683,0.9375034010035503,0.526489462567418,0.513399105382669,1.0
0.163,0.34344697391442247,0.012863480904662437,0.5336237529166612,0.9381802428185285,0.5270775127228727,0.5130320722965184,1.0
